Family,Genus
Achiropsettidae,
,Mancopsetta
Artedidraconidae,
,Artedidraco
Bathydraconidae,
,Bathydraco
,Parachaenichthys
,Psilodraco
Bathylagidae,
,Bathylagus 
Carapidae,
,Echiodon
Channichthyidae,
,Chaenocephalus 
,Chaenodraco 
,Chionodraco 
,Cryodraco 
,Neopagetopsis
,Pseudochaenichthys 
Gempylidae,
,Paradiplospinus 
Harpagiferidae,
,Harpagifer 
Liparidae,
,Careproctus 
,Paraliparis
Macrouridae,
,Coryphaenoides 
,Macrourus 
Melamphaidae,
,Poromitra 
Moridae,
,Antimora 
,Halargyreus 
,Lepidion 
Muraenolepididae,
,Muraenolepis
Myctophidae,
,Electrona
,Gymnoscopelus
,Krefftichthys
,Lampanyctus
,Protomyctophum
Nemichthyidae,
,Nemichthys
Notacanthidae,
,Notacanthidae
Notosudidae,
,Scopelosaurus 
Nototheniidae,
,Aethotaxis
,Cryothenia
,Dissostichus
,Gobionotothen
,Lepidonotothen
,Lindbergichthys
,Notothenia
,Nototheniops
,Patagonotothen
,Pleuragramma 
,Trematomus 
Paralepididae,
,Magnisudis 
,Notolepis 
Scopelarchidae,
,Benthalbella 
,Lagiacrusichthys 
Stomiidae,
,Borostomias 
,Stomias
Zoarcidae,
,Seleniolycus 
,Lycodapus 
,Melanostigma 
Psychroteuthidae,
,Psychroteuthis
Brachioteuthidae,
,Slosarczykovia
Gonatidae,
,Gonatus
Ommastrephidae,
,Martialia
Histioteuthidae,
,Histioteuthis
Cranchiidae,
,Galiteuthis
Euphausiidae,
,Euphausia
,Meganyctiphanes
,Nematobrachion
,Nematoscelis
,Nyctiphanes
,Pseudeuphausia
,Stylocheiron
,Tessarabrachion
,Thysanoessa
,Thysanopoda